src,dst,weight
D.C.,Washington,4
Israeli,Lebanon,3
D.C.,U.S.,3
Israel,Palestine,3
Soviet,the Soviet Union,3
Arab,Israel,3
U.S.,Washington,3
U.S.,the Panama Canal,3
Iran,U.S.,3
Nicaragua,United States,2
Bangladesh,Pakistan,2
Bolsheviks,Russia,2
Israeli,Palestinians,2
Indonesia,Malaysia,2
Russia,the United States,2
Austria,Sweden,2
Seoul,South Korea,2
France,Germany,2
British,Palestine,2
Denmark,the United Kingdom,2
China,Japan,2
France,Morocco,2
Poland,Russia,2
China,Hong Kong,2
Afghanistan,Soviet,2
Finland,Sweden,2
Iran,Tehran,2
Nigeria,the Republic of Biafra,2
Poland,Polish,2
Europe,Soviet,2
Denmark,Norway,2
British,India,2
British,Germans,2
Britain,Germany,2
British,Finland,2
Japan,the United States,2
Soviet,U.S.,2
Japanese-American,US,2
Soviet,Washington,2
China,Xi'an,2
Ethiopian,Jews,2
Austria,Hungary,2
Britain,France,2
Tehran,U.S.,2
D.C.,Soviet,2
Austria,Finland,2
Israel,Israeli,2
Alaska,Beirut,1
Alaska,Soviet,1
Alaska,Seoul,1
Alaska,New York City,1
African-American,New Jersey,1
Alaska,Anchorage,1
African-American,the United States,1
African-American,Lebanon,1
Albuquerque,Lebanon,1
Albania,Paris,1
Bahamas,the United States,1
Albuquerque,New Mexico,1
Algiers,Israeli,1
Algiers,Palestinian,1
Alps,North and South Korea,1
American,Britain,1
American,Comets,1
Arab,the Sinal Peninsula,1
Argentina,Argentine,1
Austria,Djibouti,1
Austria,Ethiopia,1
African-American,Atlantic City,1
African-American,Beirut,1
Amsterdam,Israeli,1
Africa,the United States,1
Arab,Egyptian,1
Austria,German,1
Amsterdam,the United States,1
Anchorage,Beirut,1
Anchorage,New York City,1
Anchorage,Seoul,1
Anchorage,Soviet,1
Ankara,Istanbul,1
Ankara,Republic of Turkey,1
Arab,British,1
Arab,Jewish,1
Africa,Iraqi,1
Arab,Jordan,1
Arab,Palestine,1
Arab,the Gaza Strip,1
Arab,the Golan Heights,1
American,Newfoundland,1
American,French,1
Arab,the West Bank,1
American,Cuban,1
Africa,Baghdad,1
Austria,France,1
Armenia,Azerbaijan,1
Austria,Germany,1
Austria,Haiti,1
Armenian,Azerbaijan,1
Armenian,the Soviet Union,1
Asia,Southern Europe,1
Asia,USA,1
Asia,the Middle East,1
Asian,China,1
Atlanta,Miami,1
Atlantic City,Beirut,1
Atlantic City,Lebanon,1
Atlantic City,New Jersey,1
Atlantic City,the United States,1
Aum Shinrikyo,Tokyo,1
Australia,Canberra,1
Australia,Port Arthur,1
Australia,Tasmania,1
Australian,Cheviot Beach,1
Australian,Victoria,1
California,San Diego,1
California,San Francisco,1
California,Tokyo,1
East Timor,Indonesian,1
Armenia,the Soviet Union,1
Armenia,Pakistan,1
American,the West Bank,1
Baghdad,German,1
Austria,Innsbruck,1
Austria,Nazi,1
Austria,Russia,1
Austria,Sarajevo,1
Austria,Somalia,1
Austria,The United States,1
Azerbaijan,the Ottoman Empire,1
Azerbaijan,the Soviet Union,1
Baghdad,Berlin,1
Baghdad,Iraqi,1
Armenia,Armenian,1
Baghdad,The Ottoman Empire,1
Baghdad,the United States,1
Bahamas,Denmark,1
Bahamas,Israeli,1
Bahamas,Norway,1
Austria,Empire,1
Austria,China,1
Arkansas,Rogers,1
Austria,Bosnia-Herzegovina,1
Amsterdam,Bahamas,1
Britain,Sudan,1
American,Western European,1
American,Sri Lanka,1
Beijing,Triton,1
Beirut,Lebanon,1
Beirut,New Jersey,1
Beirut,New York City,1
Beirut,Seoul,1
Beirut,Soviet,1
Beirut,the United States,1
Belgium,Denmark,1
Belgium,France,1
Belgium,Netherlands,1
Belgium,Norway,1
Belgium,the United Kingdom,1
Belgrade,Yugoslav,1
Brazil,the Earth Summit,1
Brazilian,Paris,1
Brazilian,US,1
British,Montreal,1
British,O.S.,1
British,Palestinian,1
British,South Africa,1
British,Soviet Union,1
Beijing,Chinese,1
Beatles,Liverpool,1
Barbados,the United States,1
Brazil,Latin America,1
Bosnia-Herzegovina,Hungary,1
Gaza,O.S.,1
Boston,Brazil,1
Branch Davidians,Texas,1
Branch Davidians,U.S.,1
Branch Davidians,Waco,1
Brazil,China,1
Brazil,Europe,1
Brazil,Goiânia,1
Brazil,Rio de Janeiro,1
Barbados,the Atlantic Ocean,1
Brazil,Soviet,1
Berlin,German,1
Berlin,France,1
Bengal,British,1
Bellevue,Washington,1
Baltic,USSR,1
Barbados,Canada,1
Barbados,Egypt,1
Barbados,Jordan,1
British,Soviet War,1
British,U.S.,1
British,USSR,1
British,Egyptian,1
Britain,Uganda,1
Britain,Venezuela,1
Britain,Venezuelan,1
Britain,Western European,1
British,Canada,1
British,Chechen,1
British,China,1
British,D.C.,1
British,Egypt,1
British,Gaza,1
Britain,Sri Lanka,1
British,Hungarian,1
British,Indian,1
British,Jewish,1
Baltic,The Soviet Union,1
Baltic,Soviet,1
Baltic,Polish,1
American,Kazakhstan,1
American,Oklahoma City,1
